NOMBRE_BARRIO,CANTIDAD
ABRAHAM LINCOLN,885
ACACIAS USAQUEN,14038
ACEVEDO TEJADA,1150
AEROPUERTO EL DORADO,222
AGUAS CLARAS,1180
AGUAS CLARAS I,926
ALAMOS,617
ALASKA,333
ALASKA - VILLA DEL CAMPO,3
ALCALA,1491
ALCAZARES,884
ALCAZARES NORTE,379
"ALEMANIA I SECTOR,EL ESPINO, ANTONIO JO",5
ALFONSO LOPEZ,3168
ALFONSO LOPEZ (SECTOR CHARALA),1
ALMIRANTE COLON,1808
ALQUERIA,1675
ALQUERIA LA FRAGUA,1249
ALQUERIA LA FRAGUA II,1237
ALQUERIA LA FRAGUA NORTE,1191
ALTAMIRA,1961
ALTOS DE CHOZICA,5063
ALTOS DE SUBA,217
ALTOS DEL POBLADO,354
ALTOS DEL ZIPA,1740
ALTOS DEL ZUQUE,725
ANDALUCIA II,1975
ANDES NORTE,3465
ANTIGUO COUNTRY,6643
ANTONIA SANTOS,946
ANTONIO JOSE DE SUCRE,1085
ARABIA,1005
ARBOLEDA SANTA TERESITA,44
ARBOLEDA SUR,2040
ARBORIZADORA ALTA,3773
ARBORIZADORA ALTA  II,756
ARBORIZADORA ALTA I,880
ARBORIZADORA ALTAII,761
ARBORIZADORA BAJA,2129
AREA ARTILLERIA,5
ARGELIA II,488
ARMENIA,999
ARRAYAN,40
ARRAYANES I,395
ARRAYANES V,846
ARRAYANES VI,140
ATAHUALPA,757
ATENAS,5263
ATLANTA,4016
AURES,1847
AURES II,2391
AUTOPISTA MEDELLIN,1604
AUTOPISTA MUZU,2437
AUTOPISTA MUZU ORIENTAL,1493
AUTOPISTA SUR,1705
BANCO CENTRAL,1655
BAQUERO,678
BARAJAS NORTE,180
BARCELONA,918
BARCELONA SUR,427
BARLOVENTO,1032
BARRANCAS,4620
BARRANCAS NORTE,3691
BARRANCAS ORIENTAL,12
BARRANCAS ORIENTAL RURAL,111
BARRANQUILLITA,1384
BATALLON CALDAS,5
BATAN,12301
BAVARIA,1840
BELALCAZAR,3519
BELEN,574
BELEN FONTIBON,2469
BELLA FLOR,1064
BELLA FLOR SUR,803
BELLA SUIZA,8029
BELLAVISTA,8321
BELLAVISTA LUCERO ALTO,1245
BELLAVISTA OCCIDENTAL,1554
BELLAVISTA SUR,828
BELLO HORIZONTE,1967
BENJAMIN HERRERA,553
BERLIN,1377
BETANIA,1323
BILBAO,3327
BOCHICA,4614
BOCHICA II,8660
BOITA,1121
BOLIVIA,5752
BOLIVIA ORIENTAL,2824
BOLONIA,850
BOLONIA I,2672
BONANZA,2968
BOSA,2140
BOSA NOVA,484
BOSA NOVA EL PORVENIR,1052
BOSQUE CALDERON,4457
BOSQUE DE LOS ALPES,152
BOSQUE DE MODELIA,2481
BOSQUE DE PINOS,2079
BOSQUE DE PINOS I,1952
BOSQUE DE PINOS III,3368
BOSQUE DE PINOS III RURAL,4
BOSQUE IZQUIERDO,251
BOSQUE POPULAR,1383
BOSQUES DE SAN JORGE,3667
BOYACA,3212
"BRAS II SECT-LAS ACAC,EL PORV,NUEV ESPER",2
BRASIL,2103
BRASILIA,2084
BRAVO PAEZ,1323
BRAZUELOS OCCIDENTAL,450
BRAZUELOS OCCIDENTAL RURAL,17
BRISAS ALDEA FONTIBON,1114
BRISAS DEL LLANO,231
BRISAS DEL VOLADOR,294
BRITALIA,16535
BUENAVISTA,1300
BUENOS AIRES,2699
"BULEV DEL SUR, COMPOST.III SEC., LA ESP",2
CALANDAIMA,3023
CALLEJON SANTA BARBARA,1346
CALVO SUR,797
CAMELIA II,339
CAMPANELLA,4666
CAMPIN,665
CAMPIN OCCIDENTAL,2224
CAMPO EUCARISTICO,2
CAMPO HERMOSO,595
CAMPO VERDE,6260
CANADA O GUIRA,1294
CANAIMA,6983
CANAVERALEJO,3411
CANAVERALEJO RURAL,197
CANDELARIA LA NUEVA,1199
CANODROMO,3859
CANTAGALLO,14519
CAOBOS SALAZAR,19258
CAPELLANIA,6960
CAPITOLIO,62
CARACAS,308
CARACOLI,3074
CARMEN DEL SOL,1207
CASA BLANCA SUBA I,483
CASA BLANCA SUR,2300
CASA DE TEJA,1246
CASABLANCA,3875
CASABLANCA SUBA,2564
CASABLANCA SUBA I,413
CASABLANCA SUBA II,19
CASABLANCA SUBA URBANO,2589
CASABLANCA SUBA URBANO I,1
CASABLANCA SUBA URBANO II,5
CASTILLA,4483
CATALINA,3029
CATALINA II,2634
CATALUNA,879
CEDRITOS,15696
CEDRITOS DEL SUR,1075
CEDRO NARVAEZ,4822
CEDRO SALAZAR,7927
CEMENTERIO JARDINES APOGEO,779
CENTENARIO,693
CENTRAL DE MEZCLAS,15
CENTRO ADMINISTRATIVO,892
CENTRO ADMINISTRATIVO OCC.,52
CENTRO ENGATIVA II,2089
CENTRO FONTIBON,3090
CENTRO INDUSTRIAL,472
CENTRO NARINO,749
CENTRO USME,190
CENTRO USME RURAL,46
CENTRO USME RURAL I,20
CENTRO USME RURAL II,34
CENTRO USME URBANO,6089
CERRO COLORADO,11
CERROS DE ORIENTE,2529
CHAPINERITO,382
CHAPINERO CENTRAL,9566
CHAPINERO NORTE,5836
CHAPINERO OCCIDENTAL,2879
CHARALA,1168
CHARCO RURAL,13
CHARCO URBANO,209
CHARLES DE GAULLE,183
CHICALA,2503
CHICO NORTE,16922
CHICO NORTE II SECTOR,11704
CHICO NORTE III SECTOR,10988
CHICO SUR,1693
"CHICO SUR,CAUCE,ESTANZU.PORTAL,CONCEPCIO",1
CHIGUAZA RURAL,1
CHIGUAZA URBANO,1
CHISACA,89
CHORRERAS,32
CHUCUA DE LA VACA I,2108
CHUCUA DE LA VACA II,2495
CHUCUA DE LA VACA III,856
CHUCUA VACA-V.TORRE-LOMA-LA MARIA,5
CHUNIZA,2960
CIUDAD BACHUE,1516
CIUDAD BACHUE I ETAPA,3639
CIUDAD BACHUE II,445
CIUDAD BERNA,1502
CIUDAD BOLIVAR,2
CIUDAD BOLIVAR RURAL I,75
CIUDAD BOLIVAR RURAL III,1
CIUDAD DE CALI,2078
CIUDAD DE CALI  URB. AV.C/MARCA,2
CIUDAD HAYUELOS,15505
CIUDAD HUNZA,1981
CIUDAD JARDIN NORTE,3134
CIUDAD JARDIN SUR,2698
CIUDAD KENNEDY,2941
CIUDAD KENNEDY CENTRAL,2941
CIUDAD KENNEDY NORTE,4833
CIUDAD KENNEDY OCCIDENTAL,1801
CIUDAD KENNEDY ORIENTAL,3436
CIUDAD KENNEDY SUR,2544
CIUDAD LONDRES,4
CIUDAD LONDRES I,345
CIUDAD LONDRES RURAL,4
CIUDAD SALITRE NOR-ORIENTAL,5763
CIUDAD SALITRE SUR-ORIENTAL,14457
CIUDAD TECHO II,15858
CIUDAD UNIVERSITARIA,4
CIUDADELA COLSUBSIDIO,8366
CIUDADELA EL RECREO,9158
CIUDADELA EL RECREO II,5279
CLARET,1751
CLASS,1125
CLUB DE LOS LAGARTOS,5717
COLOMBIA,1314
COLON,1399
COLSEGUROS,527
COMPARTIR,1114
COMUNEROS,3754
CONCEPCION,52
CONCEPCION NORTE,984
CONEJERA,10
COOPERATIVA DE SUB-OFICIALES,109
CORABASTOS,143
CORDILLERA DEL SUR,796
CORDOBA,986
CORREDOR FERREO DEL SUR,1
COSTA AZUL,3313
COUNTRY CLUB,1598
CUNDINAMARCA,393
CURUBITAL,16
DANUBIO,1865
DANUBIO II,519
DELMONTE,2
DESARROLLO BRAZUELOS,646
DESARROLLO BRAZUELOS I,265
DIANA TURBAY,2525
DIANA TURBAY ARRAYANES,1708
DIANA TURBAY CULTIVOS,368
DINDALITO,3519
DINTALITO,2496
DOCE DE OCTUBRE,1607
DONA LILIANA,652
DUITAMA,93
EDUARDO FREY,1179
EDUARDO SANTOS,2761
EGIPTO,624
EL BAGAZAL,71
EL BOSQUE,349
EL BOSQUE CENTRAL,3
EL BOSQUE CENTRAL I,349
EL BOSQUE SUR ORIENTAL,555
EL BOSQUE SUR ORIENTAL RURAL,2
EL BOSQUE SUR ORIENTAL RURAL I,66
EL BOSQUE SUR ORIENTAL RURAL III,548
EL CARMELO,1594
EL CARMEN,1156
EL CARMEN FONTIBON,4610
EL CEDRO,1718
EL CEREZO,1082
EL CHANCO I,7829
EL CHANCO II,51
EL CHANCO RURAL II,7
EL CHANCO RURAL III,67
EL CHARCO,65
EL CHICO,12600
EL CHIRCAL SUR,3622
EL CONTADOR,5297
EL CORTIJO,12032
EL CORZO,7341
EL CORZO I,4433
EL CORZO RURAL,7
EL CURUBO,641
EL DANUBIO AZUL,2170
EL DORADO,882
EL DORADO INDUSTRIAL,7064
EL EJIDO,122
EL ENCANTO,2794
EL ENSUENO,10803
EL GACO,5820
EL GUAVIO,633
EL HATO,68
EL ITSMO,35
EL JARDIN,1332
EL JAZMIN,1673
EL LAUREL,1283
EL LISTON,1591
EL MADRIGAL,1836
EL MINUTO DE DIOS,3569
EL MINUTO DE MARIA,1052
EL MIRADOR,1761
EL MIRADOR DE LA ESTANCIA,572
EL MIRADOR II,197
EL MOCHUELO,1946
EL MOCHUELO ALTO,14
EL MOCHUELO II,114
EL MOCHUELO II NORTE,77
EL MOCHUELO II URBANO,172
EL MOCHUELO III,332
EL MOCHUELO III URBANO,3
EL MOCHUELO IV,76
EL MOCHUELO ORIENTAL,56
EL MOCHUELO URBANO,277
EL MUELLE,2490
EL NEVADO,235
EL NEVADO II,18
EL NOGAL,5865
EL NUEVO PORTAL,2405
EL NUEVO PORTAL II,771
EL NUEVO PORTAL II RURAL,63
EL PANTANO,1
EL PARAISO,1708
EL PARAISO BOSA,541
EL PEDREGAL,267
EL PEDREGAL II,29
EL PENON DEL CORTIJO,2022
EL PINAR,2452
EL PINO,8967
EL PLAN,17472
EL PLAYON,1595
EL POA,4425
EL PORTAL DEL BRASIL,1625
EL PORTAL DEL DIVINO,944
EL PORTAL URBANO,1
EL PORVENIR DE LOS SOCHES,144
EL PORVENIR II SECTOR,1
EL PROGRESO,1829
EL PROGRESO USME,1872
EL REAL,1684
EL RECUERDO,2911
EL REDIL,2590
EL REFUGIO,5257
EL REFUGIO I,677
EL REFUGIO II,1
EL REMANSO,194
EL REMANSO I,1984
EL RETAZO,2179
EL RETIRO,2740
EL RINCON,1785
EL RINCON NORTE,1890
EL ROCIO,2039
EL ROCIO NORTE,465
EL ROSARIO,479
EL RUBI,1211
EL SALITRE,1356
EL SATELITE,1034
EL TABACO,40
EL TESORO,949
EL TINTAL,3
EL TINTAL A.S.D.,1
EL TINTAL CENTRAL,16095
EL TINTAL II,17
EL TINTAL III,59
EL TINTAL IV,25
EL TOBERIN,5042
EL TOLDO,53
EL TRIANGULO,410
EL TUNO,323
EL UVAL,56
EL UVAL RURAL,520
EL VERGEL,1505
EL VERGEL ORIENTAL,867
EL VERVENAL,5245
EL VIRREY,2039
EMAUS,3036
ENGATIVA EL DORADO,5
ENGATIVA ZONA URBANA,2763
ENTRERIOS,894
ESCOCIA,4766
ESCUELA DE CABALLERIA I,3
ESCUELA DE CABALLERIA II,1
ESCUELA DE CARABINEROS,149
ESCUELA DE INFANTERIA,93
ESCUELA GENERAL SANTANDER,4
ESCUELA MILITAR,6
ESPARTILLAL,2736
ESPINO,737
ESPINO I,1962
ESTACION CENTRAL,829
ESTORIL,4498
ESTRELLA,639
ESTRELLA DEL NORTE,4907
ESTRELLA DEL SUR,1779
FATIMA,2069
FERROCAJA FONTIBON,12256
FISCALA ALTA,127
FLORENCIA,5059
FLORIDA,497
FLORIDA BLANCA,2934
FRANCO,427
GALAN,12886
GALAN RURAL,220
GALERIAS,2362
GALICIA,3678
GARCES NAVAS,2122
GARCES NAVAS ORIENTAL,3247
GARCES NAVAS SUR,1315
GIBRALTAR SUR,1310
GILMAR,10568
GINEBRA,2233
GINEBRA II,1210
GIRARDOT,797
GORGONZOLA,274
GRAN AMERICA,3003
GRAN BRITALIA,2061
GRAN BRITALIA I,2410
GRAN COLOMBIANO,2927
GRAN GRANADA,1734
GRAN YOMASA,1912
GRANADA,4714
GRANADA NORTE,3977
GRANADA SUR,2379
GRANJAS DE SANTA SOFIA,912
GRANJAS DE TECHO,245
GRANJAS SAN PABLO,2623
GUADALUPE,163
GUADUAL FONTIBON,2566
GUALOCHE,2006
GUIPARMA,2976
GUSTAVO RESTREPO,2991
HIPOTECHO,2936
HIPOTECHO OCCIDENTAL,11119
HIPOTECHO SUR,4671
HORIZONTES NORTE,4767
HOSPITAL SAN CARLOS,3725
HOYA SAN CRISTOBAL,9
HOYA TEUSACA,779
IBERIA,10267
INDUSTRIAL CENTENARIO,193
INGEMAR,1721
INGEMAR I,53
INGEMAR ORIENTAL,171
INGEMAR ORIENTAL I,175
INGEMAR ORIENTAL RURAL,9
INGLES,2578
INTERINDUSTRIAL,174
IRAGUA,4
ISLA DEL SOL,1981
ISLANDIA,1090
ISMAEL PERDOMO,638
JACQUELINE,1629
JARDIN BOTANICO,2864
JAZMIN,1
JERUSALEN,1292
JIMENEZ DE QUESADA,890
JIMENEZ DE QUESADA II SECTOR,1274
JORGE ELIECER GAITAN,1783
JORGE GAITAN CORTES,2146
JORGE URIBE BOTERO,1910
JOSE ANTONIO GALAN,1402
JOSE JOAQUIN VARGAS,2757
JOSE MARIA CARBONEL,2648
JUAN JOSE RONDON,1350
JUAN JOSE RONDON I,585
JUAN PABLO II,2117
JUAN REY (LA PAZ),1979
JUAN REY SUR,1428
JUAN XXIII,992
JULIO FLOREZ,5153
KASANDRA,500
LA ALAMEDA,3631
LA ANDREA,2780
LA ARBOLEDA RURAL,2
LA ASUNCION,2265
LA AURORA,4250
LA BELLEZA,982
LA CABANA,5976
LA CABANA FONTIBON,2030
"LA CABANA, EL REGALO",1
LA CABRERA,5410
LA CALLEJA,14180
LA CAMELIA,1318
LA CAMPINA,2487
LA CANDELARIA,1
LA CAPUCHINA,5331
LA CAROLINA,7746
LA CAROLINA DE SUBA,687
LA CASTELLANA,4608
LA CATEDRAL,6891
LA CECILIA,1950
LA CHUCUA,1918
LA CITA,1018
LA COMUNA,1662
LA CONCORDIA,363
LA CORUNA,3057
LA ESMERALDA,1605
LA ESPERANZA,1544
LA ESPERANZA DE USME,1571
LA ESPERANZA NORTE,12070
LA ESPERANZA SUR,4198
LA ESPERANZA SUR I,125
LA ESTACION BOSA,1555
LA ESTANCIA,3362
LA ESTANZUELA,2119
LA ESTRADA,2714
LA ESTRADITA,1363
LA ESTRELLITA,498
LA ESTRELLITA I,794
LA ESTRELLITA III,13
LA FAENA,2413
LA FAVORITA,1830
LA FISCALA,431
LA FISCALA NORTE,1063
LA FLORIDA OCCIDENTAL,52
LA FRAGUA,1189
LA FRAGUITA,1211
LA GAITANA,2215
LA GAITANA ORIENTAL,590
LA GIRALDA,1525
LA GLORIA OCCIDENTAL,1084
LA GLORIA ORIENTAL,2034
LA GRANJA,1868
LA GRANJA NORTE,183
LA HORTUA,8
LA HUERTA,103
LA INDEPENDENCIA,2025
LA LAGUNA FONTIBON,1430
LA LIBERIA,7590
LA LIBERTAD,2367
LA LOMITA,729
LA MACARENA,2401
LA MAGDALENA,846
LA MARIA,521
LA MARICHUELA,4119
LA MERCED,408
LA MERCED NORTE,608
LA ORQUIDEA,1
LA ORQUIDEA DE USME,428
LA PAMPA,172
LA PATRIA,797
LA PAZ,3390
LA PAZ BOSA,4046
LA PENA,293
